program,x,task,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10
vector,1000000,push,21751767,21301622,21361430,20843398,21089364,20448087,22830915,20464948,22868139,20499005
vector,1000000,set,2449322,2444453,2457813,2463444,2431601,2447422,2427412,2442201,2427462,2446956
vector,1000000,access,2230953,2277399,2232834,2246726,2259997,2275311,2255796,2274198,2262165,2276543
array,1000000,set1,2460276,2531722,2004622,2072860,2068244,2139869,2058038,2163342,2640741,2471875
array,1000000,access1,794293,676795,685913,688468,693614,714962,654575,669649,789756,790143
array,1000000,set2,996199,782084,782611,808239,833987,841604,828038,1013689,966938,971661
array,1000000,access2,790388,649801,650471,644655,692199,688987,646475,851148,791474,789812
vector,3000000,push,63453818,62319773,62313904,64102246,63534969,64066095,64635271,64039204,63580280,64000548
vector,3000000,set,7344750,7303358,7347012,7290966,7302691,7311286,7346892,7291668,7354693,7342481
vector,3000000,access,6691737,6719365,6711125,6693403,6708578,6696924,6752073,6691905,6712536,6686500
array,3000000,set1,7900672,6858672,7141929,6133904,6197478,6954258,6578219,6142982,6641355,6220293
array,3000000,access1,2457718,2274686,2370351,2018431,2759799,2568496,2245339,1965378,2158303,2076414
array,3000000,set2,2481503,2432900,2952400,2435072,3233207,2461118,2673820,2474008,2647728,2637915
array,3000000,access2,1995905,2004400,2437807,1999632,1963747,2002969,1967282,1956451,2102316,2158595
vector,10000000,push,216549524,214719493,215630379,213671124,213854972,214914807,214008964,214937930,215148935,213631340
vector,10000000,set,24266047,24288921,24336181,24291928,24278972,24297942,24271719,24292127,24304662,24319906
vector,10000000,access,22287121,22306165,22326110,22292103,22304857,22288635,22306071,22400692,22311113,22305931
array,10000000,set1,22532233,20892033,20150052,20353984,22429597,22601753,22502654,20384839,23193143,22679161
array,10000000,access1,6447013,6446137,6449308,6456201,6451391,6487021,6454296,6447775,6459876,6500406
array,10000000,set2,7995107,8031462,7987728,8007583,8061378,8013321,8013792,8079888,8047722,8136175
array,10000000,access2,6414690,6492966,6451357,6411157,6469772,6459588,6477690,6476252,6419038,6504424
vector,30000000,push,609318787,608683954,607926990,608193504,626343152,608144803,608393725,608866802,606303309,610424311
vector,30000000,set,72803821,72887660,72829607,72796258,73041842,72912502,72937041,72889169,72845079,73021372
vector,30000000,access,66836658,66844714,66813128,66850564,66898467,66856461,66848250,66872822,66861634,66881143
array,30000000,set1,63615736,60471495,62600873,62213653,62041519,60068772,62394344,61860311,61426372,60096905
array,30000000,access1,19188726,19242769,19163453,19135885,19155106,19244746,19164587,19185766,19193687,19155545
array,30000000,set2,23993079,23807731,23914916,23804073,23994490,23980631,23866590,23953442,23992775,23864313
array,30000000,access2,19203559,19244714,19265655,19163100,19227618,19164115,19156967,19146310,19154139,19163545
vector,100000000,push,2062427804,2060848915,2061319400,2061437673,2059720561,2059636303,2061374646,2061413700,2059133442,2061087181
vector,100000000,set,243130760,243038632,243051990,243310251,242879767,243318285,243105189,243222260,242942209,243382794
vector,100000000,access,222924296,223128221,222801750,222934716,222831818,223232849,222843243,223031803,223090259,222952938
array,100000000,set1,202686192,200496980,201852340,201961333,202126134,201892948,202539331,201883747,203171939,203321678
array,100000000,access1,63790564,63872717,63813761,63775090,63768625,63805313,63891447,63799805,63851302,63835262
array,100000000,set2,79591897,79710441,79863243,79834375,79930787,79861770,79761736,79446957,79765852,80022631
array,100000000,access2,63946940,63767059,63882482,63759137,63798918,63777032,63843294,63793044,63862894,63797060
vector_insert,10000,insert,5251080,4792903,6140606,4869911,6050536,5387324,5883487,4793307,5309731,4793917
vector_insert,10000,erase,5947899,4954501,6252555,5190626,5658392,6554272,5760776,4939471,6591170,5084291
vector_insert,30000,insert,59715667,61541337,61576724,61487449,62333582,61555297,61571577,61614981,62008564,59667730
vector_insert,30000,erase,60507802,60493525,60511626,60526055,60489162,60506659,60589855,60599276,60467145,60439434
vector_insert,50000,insert,171860658,169563151,168665415,170404155,167776554,172414190,168239290,170969622,169305785,168829403
vector_insert,50000,erase,170574690,167415407,167631009,171521646,167386151,170040858,167497683,169514408,167805784,167865321
vector_insert,100000,insert,748706405,776043552,749009321,738447208,740029312,745896587,759541376,746889674,760748972,743309121
vector_insert,100000,erase,765154300,782061555,743040675,743471550,746617227,750734914,754796786,755944602,764926340,755432567
